utterance,emotion,clean_text,tokens
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
This is the third time I've had to come back for the same tooth!,angry,this is the third time ive had to come back for the same tooth,"['this', 'is', 'the', 'third', 'time', 'ive', 'had', 'to', 'come', 'back', 'for', 'the', 'same', 'tooth']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
That price is insane for a simple cleaning.,angry,that price is insane for a simple cleaning,"['that', 'price', 'is', 'insane', 'for', 'a', 'simple', 'cleaning']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
That price is insane for a simple cleaning.,angry,that price is insane for a simple cleaning,"['that', 'price', 'is', 'insane', 'for', 'a', 'simple', 'cleaning']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
Your receptionist was incredibly rude to me.,angry,your receptionist was incredibly rude to me,"['your', 'receptionist', 'was', 'incredibly', 'rude', 'to', 'me']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I'm about to go to a different clinic if this continues.,angry,im about to go to a different clinic if this continues,"['im', 'about', 'to', 'go', 'to', 'a', 'different', 'clinic', 'if', 'this', 'continues']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
Your receptionist was incredibly rude to me.,angry,your receptionist was incredibly rude to me,"['your', 'receptionist', 'was', 'incredibly', 'rude', 'to', 'me']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
This is unacceptable.,angry,this is unacceptable,"['this', 'is', 'unacceptable']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
This is unacceptable.,angry,this is unacceptable,"['this', 'is', 'unacceptable']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I'm about to go to a different clinic if this continues.,angry,im about to go to a different clinic if this continues,"['im', 'about', 'to', 'go', 'to', 'a', 'different', 'clinic', 'if', 'this', 'continues']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
You call this professional work?,angry,you call this professional work,"['you', 'call', 'this', 'professional', 'work']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
Why wasn't I told about this charge earlier?,angry,why wasnt i told about this charge earlier,"['why', 'wasnt', 'i', 'told', 'about', 'this', 'charge', 'earlier']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
This is unacceptable.,angry,this is unacceptable,"['this', 'is', 'unacceptable']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Why wasn't I told about this charge earlier?,angry,why wasnt i told about this charge earlier,"['why', 'wasnt', 'i', 'told', 'about', 'this', 'charge', 'earlier']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
That price is insane for a simple cleaning.,angry,that price is insane for a simple cleaning,"['that', 'price', 'is', 'insane', 'for', 'a', 'simple', 'cleaning']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
You call this professional work?,angry,you call this professional work,"['you', 'call', 'this', 'professional', 'work']"
You call this professional work?,angry,you call this professional work,"['you', 'call', 'this', 'professional', 'work']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
I've been waiting forever this is unprofessional.,angry,ive been waiting forever this is unprofessional,"['ive', 'been', 'waiting', 'forever', 'this', 'is', 'unprofessional']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I am not paying for a mistake you made.,angry,i am not paying for a mistake you made,"['i', 'am', 'not', 'paying', 'for', 'a', 'mistake', 'you', 'made']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
You call this professional work?,angry,you call this professional work,"['you', 'call', 'this', 'professional', 'work']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
This is unacceptable.,angry,this is unacceptable,"['this', 'is', 'unacceptable']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
You told me this wouldn't hurt!,angry,you told me this wouldnt hurt,"['you', 'told', 'me', 'this', 'wouldnt', 'hurt']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
I'm about to go to a different clinic if this continues.,angry,im about to go to a different clinic if this continues,"['im', 'about', 'to', 'go', 'to', 'a', 'different', 'clinic', 'if', 'this', 'continues']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
I am not paying for a mistake you made.,angry,i am not paying for a mistake you made,"['i', 'am', 'not', 'paying', 'for', 'a', 'mistake', 'you', 'made']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
I'm about to go to a different clinic if this continues.,angry,im about to go to a different clinic if this continues,"['im', 'about', 'to', 'go', 'to', 'a', 'different', 'clinic', 'if', 'this', 'continues']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
This is unacceptable.,angry,this is unacceptable,"['this', 'is', 'unacceptable']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
Your receptionist was incredibly rude to me.,angry,your receptionist was incredibly rude to me,"['your', 'receptionist', 'was', 'incredibly', 'rude', 'to', 'me']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
I've been waiting forever this is unprofessional.,angry,ive been waiting forever this is unprofessional,"['ive', 'been', 'waiting', 'forever', 'this', 'is', 'unprofessional']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Your receptionist was incredibly rude to me.,angry,your receptionist was incredibly rude to me,"['your', 'receptionist', 'was', 'incredibly', 'rude', 'to', 'me']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
That price is insane for a simple cleaning.,angry,that price is insane for a simple cleaning,"['that', 'price', 'is', 'insane', 'for', 'a', 'simple', 'cleaning']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
Your receptionist was incredibly rude to me.,angry,your receptionist was incredibly rude to me,"['your', 'receptionist', 'was', 'incredibly', 'rude', 'to', 'me']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
